,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,VBur_0,VBur_1,VBur_2,VBur_3,VBur_4,VBur_5,VBur_6,VBur_7,Mulliken_charge_0,Mulliken_charge_1,Mulliken_charge_2,Mulliken_charge_3,Mulliken_charge_4,Mulliken_charge_5,Mulliken_charge_6,Mulliken_charge_7,APT_charge_0,APT_charge_1,APT_charge_2,APT_charge_3,APT_charge_4,APT_charge_5,APT_charge_6,APT_charge_7,NPA_charge_0,NPA_charge_1,NPA_charge_2,NPA_charge_3,NPA_charge_4,NPA_charge_5,NPA_charge_6,NPA_charge_7,NPA_core_0,NPA_core_1,NPA_core_2,NPA_core_3,NPA_core_4,NPA_core_5,NPA_core_6,NPA_core_7,NPA_valence_0,NPA_valence_1,NPA_valence_2,NPA_valence_3,NPA_valence_4,NPA_valence_5,NPA_valence_6,NPA_valence_7,NPA_Rydberg_0,NPA_Rydberg_1,NPA_Rydberg_2,NPA_Rydberg_3,NPA_Rydberg_4,NPA_Rydberg_5,NPA_Rydberg_6,NPA_Rydberg_7,NPA_total_0,NPA_total_1,NPA_total_2,NPA_total_3,NPA_total_4,NPA_total_5,NPA_total_6,NPA_total_7,NMR_shift_0,NMR_shift_1,NMR_shift_2,NMR_shift_3,NMR_shift_4,NMR_shift_5,NMR_shift_6,NMR_shift_7,NMR_anisotropy_0,NMR_anisotropy_1,NMR_anisotropy_2,NMR_anisotropy_3,NMR_anisotropy_4,NMR_anisotropy_5,NMR_anisotropy_6,NMR_anisotropy_7,ES_root_Mulliken_charge_0,ES_root_Mulliken_charge_1,ES_root_Mulliken_charge_2,ES_root_Mulliken_charge_3,ES_root_Mulliken_charge_4,ES_root_Mulliken_charge_5,ES_root_Mulliken_charge_6,ES_root_Mulliken_charge_7,ES_root_NPA_charge_0,ES_root_NPA_charge_1,ES_root_NPA_charge_2,ES_root_NPA_charge_3,ES_root_NPA_charge_4,ES_root_NPA_charge_5,ES_root_NPA_charge_6,ES_root_NPA_charge_7,ES_root_NPA_core_0,ES_root_NPA_core_1,ES_root_NPA_core_2,ES_root_NPA_core_3,ES_root_NPA_core_4,ES_root_NPA_core_5,ES_root_NPA_core_6,ES_root_NPA_core_7,ES_root_NPA_valence_0,ES_root_NPA_valence_1,ES_root_NPA_valence_2,ES_root_NPA_valence_3,ES_root_NPA_valence_4,ES_root_NPA_valence_5,ES_root_NPA_valence_6,ES_root_NPA_valence_7,ES_root_NPA_Rydberg_0,ES_root_NPA_Rydberg_1,ES_root_NPA_Rydberg_2,ES_root_NPA_Rydberg_3,ES_root_NPA_Rydberg_4,ES_root_NPA_Rydberg_5,ES_root_NPA_Rydberg_6,ES_root_NPA_Rydberg_7,ES_root_NPA_total_0,ES_root_NPA_total_1,ES_root_NPA_total_2,ES_root_NPA_total_3,ES_root_NPA_total_4,ES_root_NPA_total_5,ES_root_NPA_total_6,ES_root_NPA_total_7,ES_transition_0,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_osc_strength_0,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_<S**2>_0,ES_<S**2>_1,ES_<S**2>_2,ES_<S**2>_3,ES_<S**2>_4,ES_<S**2>_5,ES_<S**2>_6,ES_<S**2>_7,ES_<S**2>_8,ES_<S**2>_9,at_0,at_1,at_2,at_3,at_4,at_5,at_6,at_7
C[N+](C)(C)C,17,1,1,0.0003,74.1455,849.53,452.0266,-214.164752091,0.164738,0.171397,0.172341,0.135777,-214.000419,-213.99376,-213.992816,-214.02938,C4H12N,1.0,-0.58034,-0.13205,0.356195,0.22414499999999998,0.6107,788.849,449.4842,-6.4e-05,,,,,,,,-5.6e-05,,,,,,,,-8.4e-05,,,,,,,,0.7185336689741976,,,,,,,,-0.359387,,,,,,,,-0.371933,,,,,,,,-0.29826,,,,,,,,1.99950,,,,,,,,5.29282,,,,,,,,0.00594,,,,,,,,7.29826,,,,,,,,200.9647,,,,,,,,0.1127,,,,,,,,-0.216459,,,,,,,,-0.39929,,,,,,,,1.99954,,,,,,,,5.38670,,,,,,,,0.01306,,,,,,,,7.39929,,,,,,,,112.63,112.63,112.62,111.49,111.49,111.48,101.87,101.86,98.46,98.45,0.0,0.0,0.0,0.0045,0.0045,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,,,,,,,
C[Si](Cl)(C)C,14,0,1,2.3886,108.6426,997.808,758.807,-869.520967832,0.113443,0.122087,0.123032,0.080712,-869.409121,-869.400477,-869.399533,-869.441852,C3H9ClSi,1.0,-0.29077,0.04864,0.12106499999999998,0.169705,1.2954,955.348,778.6089,0.340199,,,,,,,,0.000459,,,,,,,,-3.9e-05,,,,,,,,0.7014631843926998,,,,,,,,0.718345,,,,,,,,1.601722,,,,,,,,1.76370,,,,,,,,9.99814,,,,,,,,2.18807,,,,,,,,0.05008,,,,,,,,12.23630,,,,,,,,369.9389,,,,,,,,38.3397,,,,,,,,0.166312,,,,,,,,1.20130,,,,,,,,9.99781,,,,,,,,2.74145,,,,,,,,0.05944,,,,,,,,12.79870,,,,,,,,154.47,154.46,139.68,139.67,135.13,135.12,133.96,131.65,131.65,130.9,0.0067,0.0067,0.0724,0.0727,0.0004,0.0004,0.0,0.0606,0.0605,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Si,,,,,,,
Cl[Al](Cl)Cl,4,0,1,0.0,133.3405,920.493,1007.5044,-1623.22036414,0.004786,0.010114,0.011058,-0.02454,-1623.22848,-1623.223152,-1623.222208,-1623.257807,AlCl3,1.0,-0.33326,-0.06547,0.19936500000000001,0.133895,0.0004,1048.339,907.4627,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.5459408432976715,,,,,,,,0.575670,,,,,,,,1.674913,,,,,,,,1.49874,,,,,,,,9.99966,,,,,,,,1.44083,,,,,,,,0.06077,,,,,,,,11.50126,,,,,,,,470.6392,,,,,,,,30.2415,,,,,,,,-0.034502,,,,,,,,0.90983,,,,,,,,9.99981,,,,,,,,1.96178,,,,,,,,0.12857,,,,,,,,12.09017,,,,,,,,200.36,191.8,187.62,187.62,181.12,181.12,175.57,175.57,170.2,170.2,0.0,0.0,0.0,0.0,0.0359,0.0359,0.0,0.0,0.0924,0.0924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
Cl[Zr](Cl)(Cl)Cl,5,0,1,0.0,233.032,864.915,1663.0606,-1887.62703281,0.004852,0.012571,0.013515,-0.029578,-1887.641529,-1887.63381,-1887.632866,-1887.675959,Cl4Zr,1.0,-0.35108,-0.12957,0.240325,0.110755,1.0711,1142.924,1498.8748,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.710509754562618,,,,,,,,1.168590,,,,,,,,2.250293,,,,,,,,0.81018,,,,,,,,35.98716,,,,,,,,3.12914,,,,,,,,0.07352,,,,,,,,39.18982,,,,,,,,-165.9001,,,,,,,,0.1621,,,,,,,,0.991571,,,,,,,,0.61148,,,,,,,,35.98916,,,,,,,,3.29785,,,,,,,,0.10151,,,,,,,,39.38852,,,,,,,,253.21,253.21,253.17,242.74,242.74,242.73,228.97,228.97,228.96,221.45,0.0,0.0,0.0,0.0204,0.0204,0.0203,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zr,,,,,,,
FB(F)F,4,0,1,0.0,67.8052,353.385,246.6945,-324.515085639,0.012556,0.016054,0.016998,-0.01191,-324.540666,-324.537168,-324.536224,-324.565132,BF3,1.0,-0.41408,0.03594,0.18907000000000002,0.22501,0.0001,405.353,210.5384,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.39018250471994964,,,,,,,,0.646075,,,,,,,,1.570924,,,,,,,,1.43858,,,,,,,,1.99996,,,,,,,,1.52150,,,,,,,,0.03996,,,,,,,,3.56142,,,,,,,,101.4752,,,,,,,,8.0014,,,,,,,,0.190959,,,,,,,,0.72328,,,,,,,,2.00000,,,,,,,,2.22780,,,,,,,,0.04892,,,,,,,,4.27672,,,,,,,,119.22,107.82,107.82,102.3,101.5,101.5,95.9,95.9,91.43,91.43,0.0,0.0,0.0,0.0,0.0529,0.0529,0.0,0.0,0.1636,0.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,,,,,,,
[K+],1,1,1,0.0,39.0983,121.228,19.6327,-599.72498925,0.0,0.001416,0.00236,-0.015176,-599.724989,-599.723573,-599.722629,-599.740165,K,1.0,-0.98252,-0.22031,0.601415,0.38110499999999997,0.0,666.751,35.3812,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.7715544367526747,,,,,,,,1.000000,,,,,,,,1.000000,,,,,,,,1.00000,,,,,,,,18.00000,,,,,,,,0.00000,,,,,,,,0.00000,,,,,,,,18.00000,,,,,,,,1324.9848,,,,,,,,0.0,,,,,,,,1.000000,,,,,,,,0.99133,,,,,,,,17.01165,,,,,,,,0.99702,,,,,,,,0.00000,,,,,,,,18.00867,,,,,,,,63.87,63.87,63.87,56.0,56.0,56.0,56.0,,,,0.1067,0.1067,0.1067,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,K,,,,,,,
[Li]Cl,2,0,1,7.7246,42.393,459.254,70.1006,-467.792518998,0.001437,0.003942,0.004886,-0.019286,-467.794844,-467.79234,-467.791396,-467.815567,ClLi,1.0,-0.24808,-0.06052,0.1543,0.09378,4.2786,331.683,94.2348,0.0,,,,,,,,0.0,,,,,,,,-1.74636,,,,,,,,0.32599118942731276,,,,,,,,0.405289,,,,,,,,0.743577,,,,,,,,0.82153,,,,,,,,1.99963,,,,,,,,0.17135,,,,,,,,0.00749,,,,,,,,2.17847,,,,,,,,92.2993,,,,,,,,22.166,,,,,,,,-0.134370,,,,,,,,-0.03319,,,,,,,,2.00003,,,,,,,,1.02769,,,,,,,,0.00547,,,,,,,,3.03319,,,,,,,,298.4,298.4,252.63,209.57,209.54,207.29,186.79,185.97,185.97,175.69,0.0261,0.0261,0.0266,0.0,0.0,0.0,0.1822,0.0257,0.0257,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li,,,,,,,
C[Al](c1ccccc1)C,20,0,1,1.6633,134.1564,1027.452,1713.9094,-553.892747892,0.162071,0.173283,0.174228,0.122612,-553.764165,-553.752953,-553.752009,-553.803624,C8H11Al,1.0,-0.24388,-0.03772,0.1408,0.10308,5.56,784.108,1813.2748,1.704764,,,,,,,,-1.8e-05,,,,,,,,-4e-05,,,,,,,,0.5940843297671492,,,,,,,,0.621068,,,,,,,,1.360625,,,,,,,,1.76231,,,,,,,,9.99761,,,,,,,,1.22520,,,,,,,,0.01488,,,,,,,,11.23769,,,,,,,,338.7238,,,,,,,,71.5437,,,,,,,,0.347194,,,,,,,,1.34129,,,,,,,,9.99771,,,,,,,,1.64140,,,,,,,,0.01960,,,,,,,,11.65871,,,,,,,,254.39,246.75,241.82,237.07,203.47,202.05,189.95,185.89,185.83,185.21,0.0091,0.0002,0.0003,0.2408,0.0195,0.0,0.0829,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
[Li][Al](c1ccccc1)(C)(C)C,25,0,1,9.145,156.1311,1739.083,2184.962,-601.261067329,0.199382,0.213977,0.214922,0.158294,-601.198499,-601.183903,-601.182959,-601.239587,C9H14AlLi,1.0,-0.239,-0.0343,0.13665,0.10235,5.4435,1987.524,2203.0722,-1.582539,,,,,,,,-0.016571,,,,,,,,0.202119,,,,,,,,0.7328508495909377,,,,,,,,0.786018,,,,,,,,1.328649,,,,,,,,1.62247,,,,,,,,9.99531,,,,,,,,1.36613,,,,,,,,0.01609,,,,,,,,11.37753,,,,,,,,472.5955,,,,,,,,64.2363,,,,,,,,0.871315,,,,,,,,1.68573,,,,,,,,9.99297,,,,,,,,1.30013,,,,,,,,0.02117,,,,,,,,11.31427,,,,,,,,260.54,258.25,250.11,242.68,234.52,234.24,233.41,225.64,223.08,219.23,0.0032,0.0057,0.0276,0.0048,0.0107,0.0007,0.0019,0.0132,0.0021,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
CC(C[Al](c1ccccc1)CC(C)C)C,38,0,1,1.295,218.3172,2127.6,5134.6686,-789.766718214,0.334305,0.352051,0.352995,0.28714,-789.463279,-789.445534,-789.444589,-789.510444,C14H23Al,1.0,-0.24201,-0.03794,0.13997500000000002,0.102035,5.9958,2572.173,4947.2937,-0.440907,,,,,,,,0.024605,,,,,,,,-0.675274,,,,,,,,0.6773127753303965,,,,,,,,0.548321,,,,,,,,1.369984,,,,,,,,1.82974,,,,,,,,9.99757,,,,,,,,1.15416,,,,,,,,0.01853,,,,,,,,11.17026,,,,,,,,334.034,,,,,,,,78.3564,,,,,,,,0.199984,,,,,,,,1.27594,,,,,,,,9.99587,,,,,,,,1.70958,,,,,,,,0.01861,,,,,,,,11.72406,,,,,,,,270.99,257.52,254.52,238.48,208.23,205.3,204.2,192.26,191.72,190.72,0.0008,0.0,0.0071,0.2315,0.0002,0.0178,0.0003,0.0038,0.0567,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
FC(c1ccc(cc1)B1OCC(CO1)(C)C)(F)F,32,0,1,3.1754,258.0466,2036.097,7146.3166,-940.613734586,0.251791,0.268397,0.269341,0.205309,-940.405154,-940.388548,-940.387603,-940.451636,C12H14BF3O2,1.0,-0.25435,-0.03673,0.14554,0.10881000000000002,4.3543,1989.822,7205.6188,1.507901,,,,,,,,6.1e-05,,,,,,,,-0.288008,,,,,,,,0.6625235997482694,,,,,,,,0.443296,,,,,,,,1.351482,,,,,,,,1.13636,,,,,,,,1.99903,,,,,,,,1.83713,,,,,,,,0.02748,,,,,,,,3.86364,,,,,,,,86.457,,,,,,,,15.2252,,,,,,,,0.392224,,,,,,,,1.04633,,,,,,,,1.99905,,,,,,,,1.92659,,,,,,,,0.02803,,,,,,,,3.95367,,,,,,,,243.29,219.41,201.22,197.73,186.35,181.79,180.33,175.61,173.53,170.45,0.014,0.3609,0.0,0.0064,0.0054,0.2669,0.7493,0.0001,0.0008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,,,,,,,
c1ccc(cc1)[Al](c1ccccc1)c1ccccc1,34,0,1,1.1551,258.298,2114.005,6145.3336,-937.370371559,0.272329,0.288981,0.289926,0.224841,-937.125333,-937.108681,-937.107737,-937.172821,C18H15Al,1.0,-0.24469,-0.05224,0.14846499999999999,0.09622499999999999,4.8673,2659.555,6566.681,-0.000112,,,,,,,,-0.000132,,,,,,,,-0.000289,,,,,,,,0.6538703587161737,,,,,,,,0.399426,,,,,,,,1.621972,,,,,,,,1.75575,,,,,,,,9.99685,,,,,,,,1.22984,,,,,,,,0.01756,,,,,,,,11.24425,,,,,,,,369.6022,,,,,,,,11.718,,,,,,,,0.113001,,,,,,,,1.30353,,,,,,,,9.99688,,,,,,,,1.68418,,,,,,,,0.01541,,,,,,,,11.69647,,,,,,,,269.14,269.13,267.36,266.8,266.76,253.7,253.66,248.76,222.09,222.01,0.0001,0.0002,0.0019,0.1878,0.189,0.0439,0.044,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
Br[Mg]c1c(C)cc(cc1C)C,22,0,1,4.0509,223.3949,1778.409,4628.0022,-3121.45444621,0.173158,0.18676,0.187705,0.127911,-3121.297223,-3121.283621,-3121.282677,-3121.342471,C9H11BrMg,1.0,-0.23031,-0.03453,0.13241999999999998,0.09788999999999999,14.1972,1422.728,4323.3379,1.331504,,,,,,,,0.018575,,,,,,,,-2.1e-05,,,,,,,,0.5067652611705475,,,,,,,,0.387535,,,,,,,,1.088361,,,,,,,,1.21631,,,,,,,,9.99791,,,,,,,,0.76914,,,,,,,,0.01664,,,,,,,,10.78369,,,,,,,,512.2136,,,,,,,,285.2319,,,,,,,,-0.134721,,,,,,,,0.60843,,,,,,,,9.99843,,,,,,,,1.36551,,,,,,,,0.02763,,,,,,,,11.39157,,,,,,,,275.92,268.87,260.92,250.73,234.56,230.18,226.35,225.12,221.23,220.45,0.0058,0.0001,0.01,0.1683,0.0158,0.0,0.0001,0.3736,0.0303,0.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,,,,,,,
CC(C[Al](c1ccc(cc1)F)CC(C)C)C,38,0,1,2.1674,236.3077,1756.653,5779.0576,-889.003136819,0.326047,0.345563,0.346507,0.27508,-888.707443,-888.687927,-888.686983,-888.75841,C14H22AlF,1.0,-0.24217,-0.03862,0.140395,0.101775,7.7726,2244.612,6058.8892,-0.677392,,,,,,,,-0.080289,,,,,,,,-3.1e-05,,,,,,,,0.684550031466331,,,,,,,,0.535740,,,,,,,,1.384151,,,,,,,,1.83394,,,,,,,,9.99759,,,,,,,,1.14873,,,,,,,,0.01974,,,,,,,,11.16606,,,,,,,,333.0064,,,,,,,,67.3681,,,,,,,,0.187767,,,,,,,,1.26003,,,,,,,,9.99584,,,,,,,,1.72578,,,,,,,,0.01835,,,,,,,,11.73997,,,,,,,,266.96,248.99,245.87,243.1,210.9,210.44,207.35,191.55,189.35,187.28,0.0008,0.0013,0.0006,0.26,0.0012,0.0002,0.0557,0.0451,0.011,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
CC([Si](Oc1ccc(cc1)[Li])(C)C)(C)C,34,0,1,6.0188,214.307,1993.188,4194.5353,-840.99649601,0.281418,0.299283,0.300227,0.236457,-840.724097,-840.706231,-840.705287,-840.769058,C12H19LiOSi,1.0,-0.18061,-0.04996,0.115285,0.065325,13.824,1538.601,4333.7956,-6.346919,,,,,,,,0.002763,,,,,,,,0.00266,,,,,,,,0.35934550031466334,,,,,,,,0.362020,,,,,,,,0.688797,,,,,,,,0.79429,,,,,,,,1.99863,,,,,,,,0.20092,,,,,,,,0.00616,,,,,,,,2.20571,,,,,,,,90.8124,,,,,,,,15.9627,,,,,,,,-0.302005,,,,,,,,-0.05989,,,,,,,,1.99880,,,,,,,,1.05850,,,,,,,,0.00259,,,,,,,,3.05989,,,,,,,,437.09,405.49,335.72,287.79,287.22,285.29,281.05,251.79,249.12,242.4,0.0098,0.1147,0.0,0.0,0.0312,0.0725,0.2681,0.0039,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Li,,,,,,,
COc1cc(OC)cc(c1)[Al](CC(C)C)CC(C)C,46,0,1,1.7681,278.3696,3083.231,7708.3298,-1018.81131715,0.399575,0.423537,0.424482,0.342575,-1018.444405,-1018.420442,-1018.419498,-1018.501404,C16H27AlO2,1.0,-0.20919,-0.03616,0.12267499999999999,0.086515,6.3706,2714.584,7960.5682,1.189114,,,,,,,,-0.000346,,,,,,,,-0.020486,,,,,,,,0.685336689741976,,,,,,,,0.543998,,,,,,,,1.378630,,,,,,,,1.83829,,,,,,,,9.99759,,,,,,,,1.14424,,,,,,,,0.01988,,,,,,,,11.16171,,,,,,,,332.5072,,,,,,,,66.9926,,,,,,,,0.221064,,,,,,,,1.30524,,,,,,,,9.99758,,,,,,,,1.68152,,,,,,,,0.01566,,,,,,,,11.69476,,,,,,,,302.36,271.62,266.71,256.09,224.39,212.6,205.61,200.71,196.54,189.54,0.0206,0.1487,0.0063,0.0005,0.0022,0.0,0.0899,0.0088,0.0051,0.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
CC(C[Al](c1c(C)cccc1C)CC(C)C)C,44,0,1,0.9999,246.3708,2727.937,5847.5131,-868.402064001,0.389226,0.411355,0.412299,0.336194,-868.03759,-868.015462,-868.014517,-868.090623,C16H27Al,1.0,-0.22634,-0.01674,0.12154000000000001,0.1048,2.0442,2758.587,5530.5632,0.604236,,,,,,,,0.104568,,,,,,,,-0.340125,,,,,,,,0.7363121460037759,,,,,,,,0.546567,,,,,,,,1.287177,,,,,,,,1.86798,,,,,,,,9.99773,,,,,,,,1.11086,,,,,,,,0.02343,,,,,,,,11.13202,,,,,,,,330.282,,,,,,,,125.192,,,,,,,,0.044405,,,,,,,,1.05440,,,,,,,,9.99691,,,,,,,,1.93334,,,,,,,,0.01536,,,,,,,,11.94560,,,,,,,,259.75,248.56,237.49,236.5,231.98,223.33,217.98,206.05,205.22,199.66,0.0127,0.0056,0.0012,0.0061,0.0025,0.1395,0.0198,0.0069,0.0069,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al,,,,,,,
Br[Mg]Br,3,0,1,0.0,184.113,996.537,1727.041,-5343.6505503,0.00228,0.006756,0.0077,-0.025133,-5343.664733,-5343.660257,-5343.659312,-5343.692146,Br2Mg,1.0,-0.29333,-0.07146,0.18239499999999997,0.11093499999999999,0.0,739.366,1451.1442,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.4247954688483323,,,,,,,,0.483742,,,,,,,,1.100669,,,,,,,,1.19156,,,,,,,,9.99960,,,,,,,,0.78678,,,,,,,,0.02205,,,,,,,,10.80844,,,,,,,,529.7688,,,,,,,,284.3865,,,,,,,,-0.040120,,,,,,,,0.53994,,,,,,,,9.99978,,,,,,,,1.42228,,,,,,,,0.03800,,,,,,,,11.46006,,,,,,,,247.33,247.33,236.86,236.86,199.41,191.93,191.08,191.08,187.7,187.39,0.0,0.0,0.0744,0.0744,0.1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,,,,,,,
CC(=O)O[Ag],8,0,1,7.3387,166.9125,684.274,700.4092,-374.221935802,0.050184,0.056455,0.057399,0.016685,-374.177092,-374.170822,-374.169877,-374.210592,C2H3AgO2,1.0,-0.22731,-0.13983,0.18357,0.04374,2.3128,848.5,751.4682,1.198084,,,,,,,,0.002099,,,,,,,,-3.5e-05,,,,,,,,0.45217117684078034,,,,,,,,0.430219,,,,,,,,0.522164,,,,,,,,0.62884,,,,,,,,35.99787,,,,,,,,10.36770,,,,,,,,0.00559,,,,,,,,46.37116,,,,,,,,266.67,,,,,,,,73.4928,,,,,,,,0.180790,,,,,,,,0.33725,,,,,,,,35.99922,,,,,,,,10.65725,,,,,,,,0.00628,,,,,,,,46.66275,,,,,,,,629.31,561.36,443.31,266.51,259.55,258.39,251.54,250.63,249.28,235.63,0.0398,0.003,0.0934,0.0089,0.0,0.0278,0.0016,0.0013,0.0404,0.0207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ag,,,,,,,
CC(O[Ti](OC(C)C)(OC(C)C)OC(C)C)C,45,0,1,1.7094,284.2508,2743.188,5462.7604,-1624.53869661,0.394651,0.420167,0.421111,0.331272,-1624.314719,-1624.289202,-1624.288258,-1624.378097,C12H28O4Ti,1.0,-0.25123,-0.02481,0.13802,0.11321,1.877,2841.159,5967.0129,-0.034958,,,,,,,,0.040569,,,,,,,,-0.112267,,,,,,,,0.6687382001258654,,,,,,,,1.221443,,,,,,,,2.826143,,,,,,,,1.50637,,,,,,,,17.95951,,,,,,,,2.51158,,,,,,,,0.02254,,,,,,,,20.49363,,,,,,,,-16.596,,,,,,,,48.0424,,,,,,,,1.075179,,,,,,,,1.29521,,,,,,,,17.95968,,,,,,,,2.71284,,,,,,,,0.03227,,,,,,,,20.70479,,,,,,,,255.47,246.72,240.83,238.15,230.98,227.01,218.08,217.64,217.28,214.97,0.0016,0.0049,0.0121,0.0149,0.0135,0.0079,0.0012,0.0013,0.002,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ti,,,,,,,
CC(O[Y](OC(C)C)OC(C)C)C,34,0,1,5.6762,266.169,2222.865,4067.3699,-619.33030533,0.294023,0.313843,0.314787,0.238533,-619.118104,-619.098284,-619.09734,-619.173594,C9H21O3Y,1.0,-0.24036,-0.06607,0.153215,0.087145,0.5169,2261.862,5152.5273,-0.09391,,,,,,,,-0.115872,,,,,,,,-0.097343,,,,,,,,0.6379798615481435,,,,,,,,1.207285,,,,,,,,2.560407,,,,,,,,1.97256,,,,,,,,35.96648,,,,,,,,1.05125,,,,,,,,0.00971,,,,,,,,37.02744,,,,,,,,33.014,,,,,,,,18.526,,,,,,,,0.692631,,,,,,,,1.25489,,,,,,,,35.96697,,,,,,,,1.77012,,,,,,,,0.00802,,,,,,,,37.74511,,,,,,,,331.23,311.29,296.87,296.01,289.59,289.42,213.17,212.03,211.66,203.63,0.0,0.0399,0.0054,0.0062,0.0003,0.0001,0.0009,0.0005,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,,,,,,,
CCO[Na],9,0,1,7.2828,68.0507,558.701,430.4073,-316.729300973,0.068675,0.074311,0.075255,0.039048,-316.673201,-316.667565,-316.666621,-316.702828,C2H5NaO,1.0,-0.1595,-0.06369,0.111595,0.047905,6.5307,819.429,484.1272,-2.153086,,,,,,,,-0.25637,,,,,,,,3.5e-05,,,,,,,,0.48662680931403396,,,,,,,,0.581431,,,,,,,,0.728478,,,,,,,,0.84168,,,,,,,,9.99641,,,,,,,,0.15117,,,,,,,,0.01074,,,,,,,,10.15832,,,,,,,,579.5532,,,,,,,,72.0805,,,,,,,,0.091100,,,,,,,,0.02277,,,,,,,,9.99708,,,,,,,,0.97262,,,,,,,,0.00753,,,,,,,,10.97723,,,,,,,,711.21,685.49,341.39,341.15,333.98,302.6,281.91,276.45,227.74,225.31,0.0106,0.0123,0.0014,0.0015,0.0011,0.1308,0.0066,0.0162,0.0022,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Na,,,,,,,
Cl[Mg]Cl,3,0,1,0.0,95.211,439.574,775.4869,-1120.61825615,0.00261,0.006958,0.007903,-0.022986,-1120.628065,-1120.623716,-1120.622772,-1120.65366,Cl2Mg,1.0,-0.31632,-0.07871,0.197515,0.118805,0.0,468.879,670.1119,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.40717432347388294,,,,,,,,0.540199,,,,,,,,1.239767,,,,,,,,1.34684,,,,,,,,9.99956,,,,,,,,0.63026,,,,,,,,0.02334,,,,,,,,10.65316,,,,,,,,551.3705,,,,,,,,246.2734,,,,,,,,-0.007973,,,,,,,,0.64486,,,,,,,,9.99974,,,,,,,,1.32051,,,,,,,,0.03489,,,,,,,,11.35514,,,,,,,,230.59,230.59,222.54,222.54,189.3,175.92,175.5,175.5,174.62,173.16,0.0,0.0,0.0764,0.0764,0.1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg,,,,,,,
